Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,org:group,resource country,organization country,organization involved,org:role,concept:name,impact,product,lifecycle:transition
1-322980802,Completed-Closed,Kerstin,2012-02-07 22:52:11.000,Variant 1,1,Org line V2,Sweden,se,T2 2nd,,Completed,Medium,PROD631,Closed
1-327329880,Accepted-In Progress,Carrie,2009-10-15 02:42:54.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-327329880,Accepted-Wait,Carrie,2009-12-02 23:54:37.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait
1-327329880,Accepted-In Progress,Carrie,2011-09-02 07:52:08.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-327329880,Accepted-In Progress,Carrie,2012-02-01 19:16:54.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-327329880,Completed-Closed,Carrie,2012-02-01 19:16:57.000,Variant 10,10,Org line A2,China,cn,M1 2nd,A2_2,Completed,Medium,PROD753,Closed
1-332389008,Queued-Awaiting Assignment,Ingela,2009-11-10 02:08:14.000,Variant 28,28,Org line V2,Sweden,se,T12,,Queued,Medium,PROD42,Awaiting Assignment
1-332389008,Accepted-In Progress,Ingela,2009-11-24 19:11:50.000,Variant 28,28,Org line V2,Sweden,se,T12,,Accepted,Medium,PROD42,In Progress
1-332389008,Accepted-Wait,Ingela,2010-09-10 18:15:16.000,Variant 28,28,Org line V2,Sweden,se,T12,,Accepted,Medium,PROD42,Wait
1-332389008,Accepted-In Progress,Ingela,2011-03-28 20:22:46.000,Variant 28,28,Org line V2,Sweden,se,T12,,Accepted,Medium,PROD42,In Progress
1-332389008,Accepted-Wait,Ingela,2012-01-05 01:23:26.000,Variant 28,28,Org line V2,Sweden,se,T12,,Accepted,Medium,PROD42,Wait
1-332389008,Completed-Closed,Ingela,2012-04-13 21:11:36.000,Variant 28,28,Org line V2,Sweden,se,T12,,Completed,Medium,PROD42,Closed
1-338946805,Accepted-In Progress,Andre,2009-12-14 23:59:17.000,Variant 3,3,Org line A2,Sweden,se,M21 3rd,A2_3,Accepted,High,PROD708,In Progress
1-338946805,Accepted-In Progress,Andre,2012-01-10 19:02:43.000,Variant 3,3,Org line A2,Sweden,se,M21 3rd,A2_3,Accepted,High,PROD708,In Progress
1-338946805,Completed-Closed,Andre,2012-01-10 19:03:57.000,Variant 3,3,Org line A2,Sweden,se,M21 3rd,A2_3,Completed,High,PROD708,Closed
1-339798202,Accepted-In Progress,Minnie,2009-12-16 22:29:24.000,Variant 3,3,Org line A2,INDIA,se,G30 2nd,A2_2,Accepted,Medium,PROD191,In Progress
1-339798202,Accepted-In Progress,Minnie,2012-03-15 21:51:25.000,Variant 3,3,Org line A2,INDIA,se,G30 2nd,A2_2,Accepted,Medium,PROD191,In Progress
1-339798202,Completed-Closed,Minnie,2012-03-15 21:51:47.000,Variant 3,3,Org line A2,INDIA,se,G30 2nd,A2_2,Completed,Medium,PROD191,Closed
1-339889001,Accepted-In Progress,Kenny,2009-12-17 06:17:26.000,Variant 3,3,Org line A2,Sweden,se,L28 2nd,A2_1,Accepted,High,PROD577,In Progress
1-339889001,Accepted-In Progress,Kenny,2012-03-14 22:34:51.000,Variant 3,3,Org line A2,Sweden,se,L28 2nd,A2_1,Accepted,High,PROD577,In Progress
1-339889001,Completed-Closed,Kenny,2012-03-14 22:37:29.000,Variant 3,3,Org line A2,Sweden,se,L28 2nd,A2_1,Completed,High,PROD577,Closed
1-340984229,Accepted-In Progress,Jüri,2009-12-22 18:39:31.000,Variant 17,17,Org line A2,Sweden,se,G345 2nd,A2_1,Accepted,Medium,PROD541,In Progress
1-340984229,Unmatched-Unmatched,Jüri,2009-12-22 18:55:22.000,Variant 17,17,Org line A2,Sweden,se,G345 2nd,A2_1,Unmatched,Medium,PROD541,Unmatched
1-340984229,Completed-Closed,Jüri,2012-02-01 22:08:06.000,Variant 17,17,Org line A2,Sweden,se,G345 2nd,A2_1,Completed,Medium,PROD541,Closed
1-341002175,Accepted-Wait,Jüri,2009-12-22 20:26:03.000,Variant 13,13,Org line A2,Sweden,se,G345 2nd,A2_1,Accepted,Low,PROD541,Wait
1-341002175,Accepted-In Progress,Jüri,2012-02-01 22:09:50.000,Variant 13,13,Org line A2,Sweden,se,G345 2nd,A2_1,Accepted,Low,PROD541,In Progress
1-341002175,Completed-Closed,Jüri,2012-02-01 22:10:25.000,Variant 13,13,Org line A2,Sweden,se,G345 2nd,A2_1,Completed,Low,PROD541,Closed
1-342442140,Accepted-In Progress,Lena,2010-01-06 02:12:20.000,Variant 1,1,Org line A2,Sweden,se,G354 3rd,A2_3,Accepted,Medium,PROD708,In Progress
1-342442140,Completed-Closed,Lena,2012-03-21 01:44:00.000,Variant 1,1,Org line A2,Sweden,se,G354 3rd,A2_3,Completed,Medium,PROD708,Closed
1-345132462,Accepted-In Progress,Tomas,2010-01-14 20:04:54.000,Variant 29,29,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-345132462,Accepted-Wait,Tomas,2010-01-27 20:13:29.000,Variant 29,29,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait
1-345132462,Accepted-Assigned,Tomas,2010-02-03 19:50:05.000,Variant 29,29,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Assigned
1-345132462,Accepted-Wait,Tomas,2010-02-22 18:03:08.000,Variant 29,29,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait
1-345132462,Accepted-In Progress,Tomas,2011-09-02 07:47:47.000,Variant 29,29,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-345132462,Accepted-In Progress,Carrie,2012-02-01 19:54:17.000,Variant 29,29,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-345132462,Completed-Closed,Carrie,2012-02-01 19:54:59.000,Variant 29,29,Org line A2,China,cn,M1 2nd,A2_2,Completed,Medium,PROD753,Closed
1-347461373,Accepted-In Progress,Daniel,2010-01-22 02:12:26.000,Variant 3,3,Org line A2,Sweden,se,M3 2nd,A2_3,Accepted,Major,PROD655,In Progress
1-347461373,Accepted-In Progress,Daniel,2012-04-12 00:08:17.000,Variant 3,3,Org line A2,Sweden,se,M3 2nd,A2_3,Accepted,Major,PROD655,In Progress
1-347461373,Completed-Closed,Daniel,2012-04-12 00:09:02.000,Variant 3,3,Org line A2,Sweden,se,M3 2nd,A2_3,Completed,Major,PROD655,Closed
1-349857482,Accepted-In Progress,Anders,2010-01-27 23:28:09.000,Variant 1,1,Org line A2,Sweden,se,G341 3rd,A2_2,Accepted,Medium,PROD246,In Progress
1-349857482,Completed-Closed,Anders,2012-02-29 21:50:13.000,Variant 1,1,Org line A2,Sweden,se,G341 3rd,A2_2,Completed,Medium,PROD246,Closed
1-351187625,Accepted-In Progress,Daniel,2010-02-03 01:20:20.000,Variant 3,3,Org line A2,Sweden,se,M3 2nd,A2_3,Accepted,Major,PROD655,In Progress
1-351187625,Accepted-In Progress,Daniel,2012-04-12 00:09:33.000,Variant 3,3,Org line A2,Sweden,se,M3 2nd,A2_3,Accepted,Major,PROD655,In Progress
1-351187625,Completed-Closed,Daniel,2012-04-12 00:10:09.000,Variant 3,3,Org line A2,Sweden,se,M3 2nd,A2_3,Completed,Major,PROD655,Closed
1-351869391,Accepted-In Progress,Carrie,2010-02-05 19:30:12.000,Variant 3,3,Org line A2,China,cn,G4 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-351869391,Accepted-In Progress,Carrie,2012-02-24 00:04:50.000,Variant 3,3,Org line A2,China,cn,G4 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-351869391,Completed-Closed,Carrie,2012-02-24 00:07:00.000,Variant 3,3,Org line A2,China,cn,G4 2nd,A2_2,Completed,Medium,PROD753,Closed
1-354350908,Accepted-Wait,Tomas,2010-02-16 20:33:41.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait
1-354350908,Accepted-In Progress,Tomas,2011-09-02 07:46:31.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-354350908,Accepted-In Progress,Carrie,2012-01-20 18:10:03.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-354350908,Completed-Closed,Carrie,2012-01-20 18:10:20.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Completed,Medium,PROD753,Closed
1-354376900,Accepted-Wait,Tomas,2010-02-16 20:34:37.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait
1-354376900,Accepted-In Progress,Tomas,2011-09-02 07:46:15.000,Variant 23,23,Org line A2,Sweden,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-354376900,Accepted-In Progress,Carrie,2012-02-01 19:46:03.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-354376900,Completed-Closed,Carrie,2012-02-01 19:46:53.000,Variant 23,23,Org line A2,China,cn,M1 2nd,A2_2,Completed,Medium,PROD753,Closed
1-357610411,Accepted-In Progress,Reine,2010-03-02 21:11:18.000,Variant 2,2,Org line G4,Sweden,se,S28 2nd,,Accepted,Low,PROD633,In Progress
1-357610411,Accepted-Wait,Reine,2010-09-19 16:51:17.000,Variant 2,2,Org line G4,Sweden,se,S28 2nd,,Accepted,Low,PROD633,Wait
1-357610411,Completed-Closed,Reine,2012-02-02 02:12:48.000,Variant 2,2,Org line G4,Sweden,se,S28 2nd,,Completed,Low,PROD633,Closed
1-358776870,Accepted-In Progress,Katarzyna,2010-03-08 18:47:56.000,Variant 2,2,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD740,In Progress
1-358776870,Accepted-Wait,Katarzyna,2010-03-08 18:49:32.000,Variant 2,2,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD740,Wait
1-358776870,Completed-Closed,Katarzyna,2012-03-30 19:29:03.000,Variant 2,2,Org line A2,POLAND,se,G357 2nd,A2_2,Completed,Medium,PROD740,Closed
1-359781492,Accepted-In Progress,Eva,2010-03-11 19:32:02.000,Variant 1,1,Org line V2,Sweden,se,T2 2nd,,Accepted,Medium,PROD451,In Progress
1-359781492,Completed-Closed,Eva,2012-03-15 23:57:03.000,Variant 1,1,Org line V2,Sweden,se,T2 2nd,,Completed,Medium,PROD451,Closed
1-360464815,Accepted-In Progress,Panigrahy,2010-03-16 00:10:16.000,Variant 4,4,Org line A2,Sweden,in,L50 3rd,D_1,Accepted,Medium,PROD611,In Progress
1-360464815,Accepted-Wait,Panigrahy,2010-04-16 00:02:45.000,Variant 4,4,Org line A2,Sweden,in,L50 3rd,D_1,Accepted,Medium,PROD611,Wait
1-360464815,Accepted-In Progress,Panigrahy,2011-06-09 19:07:15.000,Variant 4,4,Org line A2,Sweden,in,L50 3rd,D_1,Accepted,Medium,PROD611,In Progress
1-360464815,Completed-Closed,Panigrahy,2012-02-22 00:27:48.000,Variant 4,4,Org line A2,Sweden,in,L50 3rd,D_1,Completed,Medium,PROD611,Closed
1-360667704,Accepted-In Progress,Barbara,2010-03-16 18:14:27.000,Variant 2,2,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD740,In Progress
1-360667704,Accepted-Wait,Barbara,2010-06-15 17:12:52.000,Variant 2,2,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD740,Wait
1-360667704,Completed-Closed,Barbara,2012-03-30 20:47:27.000,Variant 2,2,Org line A2,POLAND,se,G357 2nd,A2_2,Completed,Medium,PROD740,Closed
1-361368011,Accepted-In Progress,Didier,2010-03-18 21:14:05.000,Variant 3,3,Org line C,France,us,G67 2nd,E_3,Accepted,Medium,PROD151,In Progress
1-361368011,Accepted-In Progress,Didier,2012-03-19 23:43:30.000,Variant 3,3,Org line C,France,us,G67 2nd,E_3,Accepted,Medium,PROD151,In Progress
1-361368011,Completed-Closed,Didier,2012-03-19 23:45:58.000,Variant 3,3,Org line C,France,us,G67 2nd,E_3,Completed,Medium,PROD151,Closed
1-363041157,Accepted-In Progress,Lena,2010-03-26 17:54:05.000,Variant 1,1,Org line A2,Sweden,se,G354 3rd,A2_3,Accepted,Medium,PROD708,In Progress
1-363041157,Completed-Closed,Lena,2012-03-21 01:46:39.000,Variant 1,1,Org line A2,Sweden,se,G354 3rd,A2_3,Completed,Medium,PROD708,Closed
1-364458525,Accepted-In Progress,Ann,2010-04-01 17:43:49.000,Variant 7,7,Org line A2,Sweden,se,G349 3rd,A2_3,Accepted,Medium,PROD40,In Progress
1-364458525,Accepted-In Progress,Ann,2012-03-30 21:42:07.000,Variant 7,7,Org line A2,Sweden,se,G349 3rd,A2_3,Accepted,Medium,PROD40,In Progress
1-364458525,Accepted-Wait,Ann,2012-03-30 21:42:14.000,Variant 7,7,Org line A2,Sweden,se,G349 3rd,A2_3,Accepted,Medium,PROD40,Wait
1-364458525,Completed-Closed,Ann,2012-03-30 21:48:11.000,Variant 7,7,Org line A2,Sweden,se,G349 3rd,A2_3,Completed,Medium,PROD40,Closed
1-366462246,Accepted-In Progress,Daniel,2010-04-13 02:44:40.000,Variant 3,3,Org line A2,Sweden,se,M3 2nd,A2_3,Accepted,Major,PROD655,In Progress
1-366462246,Accepted-In Progress,Daniel,2012-04-12 00:10:26.000,Variant 3,3,Org line A2,Sweden,se,M3 2nd,A2_3,Accepted,Major,PROD655,In Progress
1-366462246,Completed-Closed,Daniel,2012-04-12 00:10:52.000,Variant 3,3,Org line A2,Sweden,se,M3 2nd,A2_3,Completed,Major,PROD655,Closed
1-366726662,Accepted-In Progress,Jerker,2010-04-13 22:20:15.000,Variant 30,30,Org line G4,Sweden,se,S29 2nd,,Accepted,Medium,PROD368,In Progress
1-366726662,Accepted-In Progress,Jerker,2010-04-20 00:29:58.000,Variant 30,30,Org line G4,Sweden,se,S29 2nd,,Accepted,Medium,PROD368,In Progress
1-366726662,Accepted-In Progress,Fredrik,2010-04-20 00:30:10.000,Variant 30,30,Org line G4,Sweden,se,S29 2nd,,Accepted,Medium,PROD368,In Progress
1-366726662,Accepted-Wait,Fredrik,2010-08-10 23:52:31.000,Variant 30,30,Org line G4,Sweden,se,S29 2nd,,Accepted,Medium,PROD368,Wait
1-366726662,Accepted-Assigned,Ingemar,2011-06-27 19:51:34.000,Variant 30,30,Org line A2,Sweden,se,S35 2nd,A2_3,Accepted,Medium,PROD368,Assigned
1-366726662,Accepted-Wait,Fredrik,2011-06-27 19:58:17.000,Variant 30,30,Org line A2,Sweden,se,S35 2nd,A2_3,Accepted,Medium,PROD368,Wait
1-366726662,Completed-Closed,Fredrik,2012-01-12 22:55:45.000,Variant 30,30,Org line A2,Sweden,se,S35 2nd,A2_3,Completed,Medium,PROD368,Closed
1-367002597,Accepted-In Progress,Helena,2010-04-14 23:23:38.000,Variant 9,9,Org line C,Sweden,se,G120 3rd,C_5,Accepted,Medium,PROD607,In Progress
1-367002597,Accepted-In Progress,Helena,2012-01-10 02:37:46.000,Variant 9,9,Org line C,Sweden,se,G120 3rd,C_5,Accepted,Medium,PROD607,In Progress
1-367002597,Accepted-In Progress,Björn,2012-01-10 04:06:13.000,Variant 9,9,Org line C,Sweden,se,G120 3rd,C_5,Accepted,Medium,PROD607,In Progress
1-367002597,Completed-Closed,Björn,2012-02-15 22:02:49.000,Variant 9,9,Org line C,Sweden,se,G120 3rd,C_5,Completed,Medium,PROD607,Closed
1-371631962,Accepted-In Progress,Lena,2010-05-05 17:51:02.000,Variant 1,1,Org line A2,Sweden,se,G354 3rd,A2_3,Accepted,Medium,PROD708,In Progress
1-371631962,Completed-Closed,Lena,2012-03-21 01:47:35.000,Variant 1,1,Org line A2,Sweden,se,G354 3rd,A2_3,Completed,Medium,PROD708,Closed
1-375670011,Accepted-In Progress,Helene,2010-05-25 21:47:44.000,Variant 1,1,Org line G4,Sweden,se,S30 2nd,,Accepted,Medium,PROD410,In Progress
1-375670011,Completed-Closed,Helene,2012-01-17 00:01:56.000,Variant 1,1,Org line G4,Sweden,se,S30 2nd,,Completed,Medium,PROD410,Closed
1-376424233,Accepted-Assigned,Björn,2010-05-28 18:11:08.000,Variant 8,8,Org line G4,Sweden,se,S30 2nd,,Accepted,High,PROD412,Assigned
1-376424233,Accepted-In Progress,Gustav,2011-08-26 21:44:03.000,Variant 8,8,Org line G4,Sweden,se,S30 2nd,,Accepted,High,PROD412,In Progress
1-376424233,Completed-Closed,Gustav,2012-01-16 23:12:34.000,Variant 8,8,Org line G4,Sweden,se,S30 2nd,,Completed,High,PROD412,Closed
1-379209685,Accepted-In Progress,Carrie,2010-06-10 18:21:43.000,Variant 3,3,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-379209685,Accepted-In Progress,Carrie,2012-03-13 18:00:17.000,Variant 3,3,Org line A2,China,cn,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress
1-379209685,Completed-Closed,Carrie,2012-03-13 18:03:30.000,Variant 3,3,Org line A2,China,cn,M1 2nd,A2_2,Completed,Medium,PROD753,Closed
1-379789104,Accepted-In Progress,Barbara,2010-06-14 16:08:32.000,Variant 20,20,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD46,In Progress
1-379789104,Accepted-Wait,Barbara,2010-06-14 16:08:53.000,Variant 20,20,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD46,Wait
1-379789104,Accepted-In Progress,Barbara,2010-06-14 23:04:32.000,Variant 20,20,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD46,In Progress
1-379789104,Accepted-Wait,Barbara,2010-06-14 23:27:51.000,Variant 20,20,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD46,Wait
1-379789104,Accepted-In Progress,Barbara,2010-06-15 16:11:34.000,Variant 20,20,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD46,In Progress
1-379789104,Accepted-Wait,Barbara,2010-06-15 17:13:03.000,Variant 20,20,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD46,Wait
1-379789104,Accepted-In Progress,Barbara,2012-03-28 23:12:34.000,Variant 20,20,Org line A2,POLAND,se,G357 2nd,A2_2,Accepted,Medium,PROD46,In Progress
1-379789104,Completed-Closed,Barbara,2012-03-28 23:15:28.000,Variant 20,20,Org line A2,POLAND,se,G357 2nd,A2_2,Completed,Medium,PROD46,Closed
1-383789251,Accepted-In Progress,Susanne,2010-07-01 19:50:33.000,Variant 1,1,Org line G4,Sweden,se,S28 2nd,,Accepted,Medium,PROD633,In Progress
1-383789251,Completed-Closed,Susanne,2012-01-10 01:01:04.000,Variant 1,1,Org line G4,Sweden,se,S28 2nd,,Completed,Medium,PROD633,Closed
1-385278464,Accepted-In Progress,Pekka,2010-07-08 21:23:30.000,Variant 1,1,Org line V2,Sweden,se,T3 2nd,,Accepted,Low,PROD29,In Progress
1-385278464,Completed-Closed,Pekka,2012-02-09 19:12:24.000,Variant 1,1,Org line V2,Sweden,se,T3 2nd,,Completed,Low,PROD29,Closed
1-386495623,Accepted-In Progress,Lena,2010-07-15 18:05:37.000,Variant 2,2,Org line A2,Sweden,se,G354 3rd,A2_3,Accepted,Medium,PROD729,In Progress
1-386495623,Accepted-Wait,Lena,2010-07-15 18:09:54.000,Variant 2,2,Org line A2,Sweden,se,G354 3rd,A2_3,Accepted,Medium,PROD729,Wait
1-386495623,Completed-Closed,Lena,2012-03-21 01:48:28.000,Variant 2,2,Org line A2,Sweden,se,G354 3rd,A2_3,Completed,Medium,PROD729,Closed
1-392590655,Accepted-In Progress,Tord,2010-08-18 21:30:14.000,Variant 1,1,Org line G4,Sweden,se,S28 2nd,,Accepted,Medium,PROD108,In Progress
1-392590655,Completed-Closed,Tord,2012-01-25 00:19:26.000,Variant 1,1,Org line G4,Sweden,se,S28 2nd,,Completed,Medium,PROD108,Closed
1-399013423,Queued-Awaiting Assignment,Ing-Marie,2010-09-06 19:34:31.000,Variant 5,5,Org line G4,Sweden,se,G51 2nd,,Queued,Medium,PROD821,Awaiting Assignment
1-399013423,Accepted-In Progress,Suresh,2012-01-26 23:31:35.000,Variant 5,5,Org line G4,Sweden,se,G51 2nd,,Accepted,Medium,PROD821,In Progress
1-399013423,Completed-Closed,Suresh,2012-01-26 23:32:31.000,Variant 5,5,Org line G4,Sweden,se,G51 2nd,,Completed,Medium,PROD821,Closed
1-400351079,Accepted-In Progress,Per,2010-09-09 18:54:32.000,Variant 3,3,Org line C,Sweden,se,G37 2nd,,Accepted,Low,PROD415,In Progress
1-400351079,Accepted-In Progress,Per,2010-09-16 22:41:58.000,Variant 3,3,Org line C,Sweden,se,G37 2nd,,Accepted,Low,PROD415,In Progress
