"","x"
"227","aababacc"
"228","aababababaaaabacc"
"229","aababaaaaababaaababaaacc"
"230","babaaacc"
"231","aababaaacc"
"232","aabababaaacc"
"233","aacaaacaabaaaccacabaabababaaaaacaaccabaaaabababababacc"
"234","aababaababaaaacc"
"235","aabaababaacc"
"236","aabacc"
"237","aaaacc"
"238","aabababbabababaababaacc"
"239","aabababaaaacc"
"240","aabaabaababacc"
"241","aababaaaacc"
"242","aaabacc"
"243","babababaaaaabaaabbababababaaabacc"
"244","aabaaaabaacc"
"245","aababaaaacc"
"246","aabababababbaaababaaaababababababababbabaaababababaccacc"
"247","aabaacc"
"248","aaaaaacc"
"249","aabaacc"
"250","baaaaabbaacc"
"251","aabaababaabaabacc"
"252","aababaaaaababaaababababbaaacc"
"253","aaaabaaccaaaaacc"
"254","aabaaaaaaabaabaaababaaabaaabacc"
"255","aaaaacc"
"256","aababaaaaccaaccacc"
"257","aabaaaccabaaacc"
"258","aabaacc"
"259","aabaaabaaabaaabacc"
"260","aabaacc"
"261","babaacc"
"262","aaabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacc"
"263","bbabaaaaaaaccaacc"
"264","aaabaaabababababaacc"
"265","baabaaaacc"
"266","aababababbaaababababaababaacc"
"267","aabaaaaaaacc"
"268","aababbabaacababaaaaababababaaaaaaaaacc"
"269","aaacc"
"270","aababababaaabaaababababaaaaababaaababaaabaaabaabababaaaaababababaaacc"
"271","aabbaaababaacababaabaaaababaacc"
"272","aaacc"
"273","aaaababacc"
"274","aaaaaaaacc"
"275","aabaaabacc"
"276","aabaabaaababaabaababaacc"
"277","aaababaccababaacc"
"278","aababaacc"
"279","aaabaaaaaaaaaabaababaaaaaacc"
"280","aabaaababaaabaacc"
"281","aababaaaabbabbacc"
"282","babaaaaaaccaaaaacc"
"283","aaaacc"
"284","aabaaaacc"
"285","aabaaaacc"
"286","bbbaacc"
"287","aaababaaacc"
"288","aababaacabacc"
"289","bbaacc"
"290","aabaabaabaaaaaaaaaaaaacc"
"291","baaaaaaababacc"
"292","aabaacc"
"293","aabaaacc"
"294","aabaaaaaaaaaaababababaaaabbababaaaaaacc"
"295","aabaaabaacc"
"296","aabaaaaabaaaaaaaababaaaaaaaacc"
"297","bbabaaaacc"
"298","aabaaaccaabaaaaaaaaaaaacc"
"299","baacc"
"300","aababaaaabaabaabaaababaabaababaababaaaaccacc"
"301","aabaaababacc"
"302","aaaccbacc"
"303","aababaaacc"
"304","aabababaaabaaaabaabaaacabababaaabaacc"
"305","aabaaaaaaaaaaaccababaacc"
"306","aaabaaaacc"
"307","aabaaabaaabababacc"
"308","aaaaabaabababababababababaaabaaaabbaaabababacc"
"309","aabaacc"
"310","aababaababaaaccababababaaaaacc"
"311","aaabaacc"
"312","aababaaaaabbabaaacc"
"313","babaaaacc"
"314","baaaaabaaaaaacbaacc"
"315","babababacc"
"316","aabaacc"
"317","aabaaaacc"
"318","aabbaabbaacc"
"319","aabababaaaabaaaabbabaaaaababaaaaaaacc"
"320","aaaaaaaacc"
"321","aababababababaaaaaaaababbaaacc"
"322","aacabaababaaabababaaccaabaaacc"
"323","aabaaaacbaaababacbaccababaacc"
"324","aaababaaabaababaaabaaabaaaaaaabaaaabaaaacc"
"325","bbaacc"
"326","aaabaacc"
"327","bbabaaaaacc"
"328","bbabaaacc"
"329","aabaaacc"
"330","aacc"
"331","aababaaaacc"
"332","aababaacc"
"333","aabacc"
"334","aabaaacc"
"335","aaababacc"
"336","aabaaaaacccabaaaaaaaaaacc"
"337","aaababaaababbaababaaccababaaaaaababaaacc"
"338","aabaaaaacabaaaacc"
"339","aabacc"
"340","aabbaacc"
"341","aabaaaaaababbaaaaaaacc"
"342","aabbabaaaaacc"
"343","aabababaaaabababbabaaabbaabaabaaabaaaabaaaaacc"
"344","aabaaaaaaabaaabaaaaaaacc"
"345","aababababababaaababaaacc"
"346","babaaacbaaacc"
"347","aabaaaabaacc"
"348","bbbaabaaaabbaabaaabababaaaaaaabaaacc"
"349","aabaaababaaaabaabaaabacc"
"350","aaacc"
"351","aabaacc"
"352","aaababababaaaaaaabbababaabaabaacc"
"353","aababaaaaababaaaabaacbabaaacc"
"354","aababaaaaabaababababaaaabaaaaabacc"
"355","aabaaacc"
"356","babacc"
"357","babacc"
"358","aabaabbaabaaaaaacc"
"359","aabababaaaaabaaaabaaabaacc"
"360","aaaababaaabaaaaaababbabaaaababaaabbaaabaaaaaabaacc"
"361","aabaaacbabaaababacc"
"362","aaaabaaacc"
"363","aabaaaaaaaaaaaaaaacc"
"364","aabaaaabaaaaacc"
"365","aaababaaaacc"
"366","aabaaaacc"
"367","aabaabaaacc"
"368","aaacc"
"369","babacc"
"370","babacc"
"371","babacc"
"372","aabababaaaabaaaacc"
"373","aababaaababaabaaaabaacc"
"374","aababaaacc"
"375","aabaaabaaabaaaaaaaaaacc"
"376","bbbabaacc"
"377","aabbaaaaaaaababaaaaaacc"
"378","bacc"
"379","baaaabaacc"
"380","babaacc"
"381","aabaabaaaaaacc"
"382","aabaacc"
"383","aaaaacc"
"384","aababaababaabaaabaabaaabaabbaaaabaacc"
"385","baaaaaacc"
"386","bababaaaaababaaaabaaabaaaaaaaaaaaaaaaaacc"
"387","aababaaaababbaababaababaaaaababaacc"
"388","aabaaaaabababaaaaaaacc"
"389","aabababbabbababababababababbaaababaaaacc"
"390","aaabacc"
"391","aabaaababbaaabaaaabaaaaabaaabacc"
"392","aababacc"
"393","aabaaabaabaaacc"
"394","aababaababbabbacc"
"395","aababaaabaaaacc"
"396","babababababaaaaacaaacc"
"397","aabababacbaaacc"
"398","aabbaaacccacc"
"399","aabaabaaaaaabaabaaabaaabaabababaaabaaacc"
"400","aaaaababacc"
"401","aaaaaabababaaaacababaaaccababaaaababaababaaaaaacc"
"402","aaababaabaacc"
"403","aababababababaaababaaabababababacc"
"404","aabaaaaaaccaacc"
"405","aabaaaaacc"
"406","aabaaaaacc"
"407","aababaaabaaacc"
"408","aaabaaabbaaaaacc"
"409","babaabaaaaaaaaaaaaccaaaaaabaaaaacc"
"410","baaabaaaaaaaaaaaaaaaaaaaaaaaaaaaabaaaacc"
"411","bacc"
"412","babaaaaaaababaaaaaaacc"
"413","aabaacc"
"414","aabaaaaaaaaaaaaaaabababaaaaaaaaaababaaababaaaaabaacc"
"415","aababaaaacc"
"416","aababacc"
"417","aaababaaababaabaaabababacc"
"418","aabaabaaaaacc"
"419","aababaaaacc"
"420","aaaabacc"
"421","aabaaaabaaacc"
"422","aabaaaabacc"
"423","aabaaaaaababaaaaccaabbaabaaaaacc"
"424","aacc"
"425","aabaaacc"
"426","aababaacc"
"427","aacabaaaaaaaaaaaaaaccbaaaaabaacc"
"428","aabaaacc"
"429","aabaaaacc"
"430","aabbaaaaaacc"
"431","babaaababaaaaaababababaaaabaaaaaabaaaabaaabaaabaaabaaaabaaaacc"
"432","baababaaabaaaaaacc"
"433","aababacc"
"434","aababaaaaccababaaaaaacc"
"435","aaaababacc"
"436","aababababaaaaaacc"
"437","aabaaacc"
"438","aabaabaaaaaaaaaaaabaaacc"
"439","babaaaacc"
"440","aacaaaaaaacccabaaaaaaaaababaabaaaaacc"
"441","baabacc"
"442","aabaaabacc"
"443","aaacc"
"444","aaaaaaaaacc"
"445","baaaaaccabababaacc"
"446","aabababaaaaaaacc"
"447","aabababababaaababaacc"
"448","aabaaaabbaaabaacc"
"449","aaaabaaccabaabaaabaaaacc"
"450","aababaacc"
"451","aaabaaaacaaaaaacc"
"452","aabbacaaabaabaabaacc"
"453","aabaaaaaaaabaaaccaaaaababaaabababaacc"
"454","aabaaabaaaacaabaababababaaaabababacc"
"455","aababaaaabababaaabaaabaaababaacc"
"456","aaaacc"
"457","aabaacc"
"458","baaaaaaaaaaaaaaacc"
"459","aababacc"
"460","aacacc"
"461","aaababaaabacaaacc"
"462","aabaaaacaacc"
"463","aaaaababaabaaababaaaaacc"
"464","aabaaabababacc"
"465","aaaacacc"
"466","aababaaacc"
"467","aaacc"
"468","aababaaacc"
"469","aabaacc"
"470","aababaaabaaaaaaaacc"
"471","aabacccabaaaaaaababaaaaababaacc"
"472","aaaacc"
"473","aaaaaaaaacc"
"474","aaaacc"
"475","aabaaaaaaaaaaaaaabababababaaababaaabaaaabaababaaaabababababbabaaacc"
"476","baababaaababababaaaaaaaaaaaaaacc"
"477","aabaaaaabaacc"
"478","aabaaacc"
"479","aababacc"
"480","aababaaacc"
"481","aababaababaacc"
"482","aaabaaaacc"
"483","baaaaaaaababaaaaaaaaababaaaaaaaaaaaccacc"
"484","baaabaaacc"
"485","aabaabaaaacc"
"486","aaacc"
"487","aabaaaabaacabaaabaacc"
"488","aaababaacccaaabaabaacc"
"489","aabababacc"
"490","aabaaabaaaacaaaacc"
"491","aabaaaaaaaabacc"
"492","aaaabaaaababaaaaaaaaaaaaaaacc"
"493","aababababaaaaaababababacc"
"494","aaabaaaababaabaaaaaaabaaaaaacc"
"495","aaabaacc"
"496","aaaabaabaabaaaabaaaaaaabaaaacc"
"497","aabaaabaaaaacc"
"498","baaaaaaccbaaaaaacc"
"499","aabaaaabaaaacc"
"500","aababbaaaacc"
"501","aababacc"
"502","aababaacabaabacc"
"503","aaaaacc"
"504","bacc"
"505","aaccaabaaabaabaaababababaaaababbaaabaaaaacacabaacc"
"506","aabaaacc"
"507","aabaaababaaabaaabaaabaaaabaaabaaababaaaabaaacc"
"508","aabaabaaaabbabaaacc"
"509","aababababaaaacc"
"510","aaacbaacc"
"511","bbaaaacbacc"
"512","aabaaabaaaaabaaabaaaaccaaacccacc"
"513","aababaacc"
"514","aaaaaabacc"
"515","aabaabbaabababaabaaaaaacc"
"516","aacacc"
"517","aaaacc"
"518","aabababaaaccaaacc"
"519","aababaacc"
"520","aababaaaabaaaabaaaaacc"
"521","aaaaacc"
"522","aabaaacc"
"523","aababacc"
"524","aaabaacc"
"525","baaabaaabaaaaaaaaaaaaacc"
"526","aabaabababacc"
"527","aababaaaaabaaaaaaaccabaaaaaaaaaaaacc"
"528","aabababaaacabaaaabaacc"
"529","aabaacc"
"530","aacabaacc"
"531","aabaabaaaacc"
"532","aaaaaacc"
"533","babcc"
"534","babbcc"
"535","aaaacc"
"536","aababaaabaaaccabaaaccacc"
"537","aabaabaaacc"
"538","aabbaaaaaaaaaabacc"
"539","aabaaaabbaaacc"
"540","aaaaaabaabaaacc"
"541","aaacc"
"542","aaabababaaabaaabaaaaaaaccabaaaaabaaaaaaacc"
"543","aababaaabbabaababababaaaaaaacc"
"544","aaaac"
"545","aaccacc"
"546","aaacc"
"547","aabababbaaabaababaaababbabaacc"
"548","baabaaaaaaababaacc"
"549","baaaaaaaaaacc"
"550","aabbabababaaaaaabaaaabaaabaabaaaacc"
"551","aabaaabaaccbacc"
"552","aababaaaabaaaabaaabaaaaabababacc"
"553","aababaabaaaaabaababaaabaaaababaaaaacc"
"554","aabaaaaaacc"
"555","bbbabaacc"
"556","aabaabaaacc"
"557","aabaaaaaaaaaaacc"
"558","aaacc"
"559","aababaacc"
"560","aabaacbacbaaaaacc"
"561","aaaacaaacc"
"562","aaaabaaaaaaaaacaabaaaaaaaaaaaacc"
"563","babaacaaaaaacc"
"564","baaaaaabacc"
"565","baababaabaaabaaaaabaaaaaaaaaaacc"
"566","aaabaabacc"
"567","aabababababaaacc"
"568","aacabaabacc"
"569","aaabaaaaaaaaaaacc"
"570","aabababaababaaabaaabaaaacc"
"571","aabaabababaaabaababaaabaaaaabaaacc"
"572","aaaaaacc"
"573","aababababacc"
"574","aabaaababababbaacc"
"575","aabaaaaaaacc"
"576","aabaacc"
"577","aababaaabaacc"
"578","aaaacc"
"579","aaabaaabaaaaaaaababaaabaaaabaabaaacc"
"580","aababaaaacc"
"581","aabaaaaaacc"
"582","aababaaaaaaaacc"
"583","aabbaaaaaababaaaaacbaaacc"
"584","aabababbababbabaaacc"
"585","baabaaaaaaaacc"
"586","bbababaaaaccacc"
"587","aabaaabaacc"
"588","aacc"
"589","aacabaaaaaabaaaaaaaababaacc"
"590","baaaaaaacc"
"591","baaabaaabaacc"
"592","aabaaabaabaaabaabaaaaababaabbaaaaabaabaaabaabaaaacabaacc"
"593","aabaaabaabaaabaabbaaabaaaaacc"
"594","aaccabababababaaababaaaaacc"
"595","aababababaaaaabaaacc"
"596","aababbaccaababaaacc"
"597","aaabababaaaabaaaaaaacc"
"598","aabaaabaacc"
"599","aaabaaaaaaaacc"
"600","aabaaaaaaaaaaaaacc"
"601","aaaabaaacc"
"602","aabaacc"
"603","aaacc"
"604","aacabaaababaaaaabaaaabababaacc"
"605","aaabacaaaaabaabaaaaaacc"
"606","aaaababaaaaaaaaaaaaaababaacc"
"607","aaaacc"
"608","aaaacc"
"609","aabaacabaaaabaaaaaaacc"
"610","aaababaaaaaaaaaabaaaacc"
"611","aaaaaaaaaaaaacc"
"612","aabaaababacc"
"613","aaababaaaaaababaaaaaaabababaaaaaaaaabaaacc"
"614","aabababaaacc"
"615","aaabaaacc"
"616","aaaaaaaaaacaaaaaaaaaaaaaacc"
"617","aabacc"
"618","aabaacc"
"619","aabaaacc"
"620","aaaabaacabaaabaaaaaaaaabaaaaaaacc"
"621","aabaababaaaaabaaaaaaacc"
"622","aaabbabaaaaaaababaaaaaacc"
"623","aabaaacbaaacc"
"624","aabaacc"
"625","aabaacc"
"626","aabaaaabaaacc"
"627","babaaacc"
"628","baababaacc"
"629","bacc"
"630","abaaaaaaaaaaaaaaaaaaaaaabbaabaaabacc"
"631","bbabaacc"
"632","bbbaacc"
"633","aaaaacc"
"634","aabaaaaaaaaacc"
"635","aaababacc"
"636","aaabbabaaaaaaaacc"
"637","aaaacc"
"638","aacabaaaacc"
"639","aaaacc"
"640","aaabaaaaaaaaaacc"
"641","aaacc"
"642","aaaaaaacaacc"
"643","aabaabaacabaaaaaaaaabaacc"
"644","aabaacc"
"645","aabaacc"
"646","aabbaaaaaaaaaaaacc"
"647","aaabaaacaaaaaabaaacc"
"648","aaabababaaababaabaccacc"
"649","aababacc"
"650","aababacc"
"651","aacabababacc"
"652","aababababaaaaaaababaaacc"
"653","aaaacc"
"654","aaaac"
"655","aababaaaaacc"
"656","aababaacc"
"657","aabaaaaaaaccabaaaaaacc"
"658","aaaacc"
"659","aaabbabaaaaaaababaacc"
"660","baaaabaababaaaaaaaaacc"
"661","bababababaaabababaaaaacc"
"662","aababaacc"
"663","bbbababaaaaaaaacc"
"664","aaaaaaaaacbabaaaaabaaaaacc"
"665","aabaaacc"
"666","aaaababaaaabababababaaaaacc"
"667","aacc"
"668","aaababaacc"
"669","aaaacc"
"670","aaaaabaaaaaaacc"
"671","aabaabaaaacc"
"672","aaabaaacabaaaacdaaaacc"
"673","bababaaaaaababaaaaaaacbaaaaabaaabacc"
"674","bababaaacbaaaaaabaaaaaacc"
"675","bababaaaaaaababaacc"
"676","aabaaaaaaacc"
"677","aabaaaaaaacc"
"678","aaaaaaaabaccababaaababaacc"
"679","aabaacc"
"680","aaaaaacc"
"681","aababaaacabbababaaacaababaaababababaaaaaaaaababaacc"
"682","aaabaaaabaaaaacccacc"
"683","aaabaacc"
"684","aaaabacc"
"685","aababacc"
"686","aabaacc"
"687","aaaaabababaaaaabaaabacc"
"688","aaaabaacc"
"689","aababaaaabacc"
"690","aabaacc"
"691","aabaaaaacabaaaabacc"
"692","aababaabaababaabababababababababbaabababababaaababababababaaababaaccababacc"
"693","aaabaaabababaaaaababbabaaaaababaaaaaaaaabaacc"
"694","aababaacc"
"695","aaaacc"
"696","aaaaaaaccabaaaaacc"
"697","aabaaaccababacc"
"698","aaaaaacc"
"699","aabaacc"
"700","aababaaaacc"
"701","aabaaabaaabababaabaacc"
"702","aabababaaaaaacc"
"703","aababababaaaabaaacc"
"704","aababaacc"
"705","aababbaaaaaccc"
"706","aabaaabaaaaaaaaacc"
"707","aabaacc"
"708","aabaaaacc"
"709","aababaaaaaaaaaaacc"
"710","aaabaaaacc"
"711","aababacc"
"712","aabaababaaaaacc"
"713","aabaaaaacc"
"714","aababaaacc"
"715","baababababaaaaababaaaabbababaaabababababababaaabaaaaabacc"
"716","baaaaaaacbabaaaabaaabaaabababaaabaaabaaaacc"
"717","babababaaaacc"
"718","baaaaaaaaacc"
"719","aacbabaaaaaaaaacc"
"720","bbabaacc"
"721","bbbaacc"
"722","bbabaaaacc"
"723","aababaacc"
"724","aabaaaacc"
"725","aacacc"
"726","aabacc"
"727","aabababaaababaacc"
"728","aaccbaaacc"
"729","aabbaaaaacaccabaaaacc"
"730","aababaaaccabaaacc"
"731","aaabaaabaaacc"
"732","aabaaaaaacbaacc"
"733","baabaababaaaaaaaaaaaaaaaaaaaababaaaaaaacc"
"734","babaacc"
"735","babaaaaaaababaaacc"
"736","aabacaabaacc"
"737","aaacc"
"738","aabaabaaccabaabaacc"
"739","aaacc"
"740","aacacaaaacc"
"741","aaaacbabaaaaaaabaaaaababacc"
"742","aababacc"
"743","aabababaaabababababababababbabaacc"
"744","aaaacc"
"745","aabacc"
"746","aababaaaababaacababaabaaacc"
"747","aaacc"
"748","aaacc"
"749","aaaababaaaacc"
"750","aabaaacc"
"751","aaababaaaaacc"
"752","aaaacaabaaaaaaaaaaaaaaacc"
"753","aacc"
"754","aabaaacc"
"755","aabbabaaaababababaacc"
"756","aaabaacc"
"757","aabbabababaaaaaacc"
"758","aabababaaaaacc"
"759","aabaacc"
"760","bbbabacacbaaacc"
"761","bbababbaacc"
"762","aabaaaabacaabaaaccaaaabaaaaacc"
"763","aababbabaaaababaacc"
"764","aabababaacc"
"765","aaababbaaabaaaacc"
"766","aabaacc"
"767","aaaabaccaaacc"
"768","bbaabaaaacc"
"769","aabaababaaaaacc"
"770","aababababaaaababababaaaababababababbababaaaacc"
"771","aabaaaaaaaababaaabaaaaaaaaacc"
"772","aaabaabaaaabaaaaaaccbaaaabababaaabaabaaabaaaaaaaaacc"
"773","aaaababaaacc"
"774","aabaacc"
"775","aababaabaabababbababaaacc"
"776","babaacc"
"777","bababaababaaaaacabaaabaabaaaaaaacc"
"778","babbababaacacc"
"779","baaaaabaacc"
"780","babababaaaaabaaaaabaaacbaaaaaaaaacc"
"781","aacababaaaaaaaaaaacc"
"782","bababaaaababacc"
"783","baaaaabaacc"
"784","baaaaacbaabaaaaaaaacc"
"785","baaaaabaabaaaaaaacacc"
"786","aabababaaabacbacc"
"787","aababaababacc"
"788","aaaac"
"789","aabaaabababaaaaaaaaaabbaaaabbabaaaaacc"
"790","aabaaaabaabacc"
"791","aaababaacc"
"792","aaaaaac"
"793","aabababababaabababababacc"
"794","aababaaabaaaaacc"
"795","aababaaacc"
"796","aabaaabaaaaaaaabbaaaabaaacc"
"797","aabaaacc"
"798","aaaabaaababaaabbaaaaaacc"
"799","aababbabaaaabaaaaaaaacaabaaabbaaabaababaaacc"
"800","aabbacc"
"801","abaaaabaaaaabacc"
"802","aabaacc"
"803","aabaaabaacc"
"804","aaaaaabaaccabaaacc"
"805","aaababacc"
"806","aababaabaaabaacc"
"807","aaaacabaabababaaaaaaacc"
"808","aacacc"
"809","aaacabababababaaacc"
"810","aaababaaaaaaaaaaaaacc"
"811","aababaaaaaaaabaaaababaaabacc"
"812","aaaccacc"
"813","aababbababacabababbabababaabaababababababbababaaaaacc"
"814","aababaabaaaaabababaaaaaababaabbababbababaaaaababaaacc"
"815","aabaabaaaacc"
"816","aababaaacbababaacc"
"817","aaabbaaaacc"
"818","aabaacc"
"819","aabaacc"
"820","aaababaaaaaabaaaacc"
"821","aabaaaaacc"
"822","aabaaaaacc"
"823","aacabaaaaaacc"
"824","bababbababaaacc"
"825","aabaaaacc"
"826","aaabbababaaaabaaaaaabababaaacc"
"827","aabababbaacc"
"828","aabaaaaaaacc"
"829","aabaaacc"
"830","aaaacaaabaacc"
"831","bababaaaaababaacc"
"832","aaacc"
"833","babaaaaacc"
"834","bababacc"
